Label,Pairwise Deletion Sample Size for Observed Data,r Correlation,95% CI Lower Bound for r Correlation,95% CI Upper Bound for r Correlation,95% CI Width for r Correlation,d Correlation,d Correlation Minus |r| Correlation
Motor Selective Stop Signal Reactive Control with Two-Stage Decision Perseverance,317,-.0154,-.1207,.0950,.2157,.0829,.0675
Motor Selective Stop Signal Reactive Control with Writing Task Neutral Probability,361,.0083,-.0919,.1093,.2013,.0563,.0480
Motor Selective Stop Signal Reactive Control with Writing Task Positive Probability,361,.0001,-.0995,.0992,.1987,.0670,.0669
Motor Selective Stop Signal Reactive Control with Body Mass Index,359,.0948,-.0035,.1920,.1955,.1065,.0117
Motor Selective Stop Signal Reactive Control with K6 Nervous,361,-.0170,-.1285,.1011,.2296,.0642,.0472
Motor Selective Stop Signal Reactive Control with K6 Hopeless,361,.0248,-.0884,.1460,.2344,.0652,.0404
Motor Selective Stop Signal Reactive Control with K6 Restless/Fidgety,361,.0337,-.0772,.1535,.2307,.0674,.0337
Motor Selective Stop Signal Reactive Control with K6 Depressed,361,.0597,-.0554,.1801,.2355,.0897,.0300
Motor Selective Stop Signal Reactive Control with K6 Everything an Effort,361,.0331,-.0796,.1513,.2309,.0773,.0442
Motor Selective Stop Signal Reactive Control with K6 Worthless,361,.0543,-.0644,.1798,.2442,.0800,.0257
Motor Selective Stop Signal Reactive Control with Cigarettes Per Day,361,-.0339,-.1237,.0627,.1864,.0777,.0438
Motor Selective Stop Signal Reactive Control with How Many Drinks When Drinking,361,.0398,-.0570,.1414,.1984,.0649,.0251
Motor Selective Stop Signal Reactive Control with How Often 6+ Drinks,361,.0752,-.0262,.1788,.2050,.0907,.0155
Motor Selective Stop Signal Reactive Control with How Often Unable to Stop Drinking,361,.0696,-.0240,.1658,.1898,.0958,.0262
Motor Selective Stop Signal Proactive Control with Probabilistic Selection Task Positive Learning Bias,272,-.0002,-.1062,.1136,.2198,.0944,.0942
Motor Selective Stop Signal Proactive Control with Probabilistic Selection Task Value Sensitivity,272,-.0112,-.1248,.0984,.2232,.0871,.0759
Motor Selective Stop Signal Proactive Control with Psychological Refractory Period Slope,356,-.0849,-.1831,.0149,.1980,.1087,.0239
Motor Selective Stop Signal Proactive Control with Raven Progressive Matrices,361,.0525,-.0456,.1475,.1931,.0739,.0214
Motor Selective Stop Signal Proactive Control with Shift Task Accuracy,357,.1188,.0180,.2164,.1983,.1265,.0076
Motor Selective Stop Signal Proactive Control with Shift Task Learning Rate,357,.0251,-.0915,.1365,.2280,.0845,.0594
Motor Selective Stop Signal Proactive Control with Simon Task HDDM Drift,359,.1447,.0413,.2437,.2025,.1458,.0011
Motor Selective Stop Signal Proactive Control with Simon Task HDDM Non-Decision,359,-.0795,-.1808,.0174,.1982,.1440,.0645
Motor Selective Stop Signal Proactive Control with Simon Task HDDM Threshold,359,.0128,-.0874,.1151,.2026,.0774,.0647
Motor Selective Stop Signal Proactive Control with Simon Task HDDM Drift of Simon Effect,359,-.0455,-.1563,.0664,.2226,.0721,.0266
Motor Selective Stop Signal Proactive Control with Simple Reaction Time Average Reaction Time,358,-.1370,-.2262,-.0455,.1806,.1480,.0109
Motor Selective Stop Signal Proactive Control with Spatial Span Forward Span,361,.0643,-.0415,.1699,.2114,.0932,.0289
Motor Selective Stop Signal Proactive Control with Spatial Span Reverse Span,361,.0416,-.0571,.1386,.1957,.0768,.0352
Motor Selective Stop Signal Proactive Control with Stimulus Selective Stop Signal Reaction Time,338,-.1998,-.2894,-.1054,.1840,.2312,.0314
Motor Selective Stop Signal Proactive Control with Stimulus Selective Stop Signal HDDM Drift,338,.1220,.0226,.2199,.1972,.1302,.0082
Motor Selective Stop Signal Proactive Control with Stimulus Selective Stop Signal HDDM Non-Decision,338,.0028,-.1203,.1196,.2399,.0998,.0970
Motor Selective Stop Signal Proactive Control with Stimulus Selective Stop Signal HDDM Threshold,338,.3161,.1995,.4252,.2256,.2973,-.0189
Motor Selective Stop Signal Proactive Control with Stop Signal Reaction Time High,349,-.1273,-.2125,-.0387,.1738,.1334,.0061
Motor Selective Stop Signal Proactive Control with Stop Signal Reaction Time Low,349,-.1584,-.2571,-.0571,.2000,.1725,.0141
Motor Selective Stop Signal Proactive Control with Stop Signal HDDM Drift,349,.1173,.0067,.2259,.2192,.1577,.0404
Motor Selective Stop Signal Proactive Control with Stop Signal HDDM Non-Decision,349,-.0019,-.1054,.0972,.2025,.0790,.0771
Motor Selective Stop Signal Proactive Control with Stop Signal HDDM Threshold,349,.2667,.1307,.3883,.2575,.2246,-.0421
Motor Selective Stop Signal Proactive Control with Stop Signal Proactive Reaction Time Speeding,349,-.0558,-.1472,.0287,.1760,.1156,.0598
Motor Selective Stop Signal Proactive Control with Stop Signal Proactive Reaction Time Slowing,349,.1883,.0829,.2891,.2062,.2235,.0352
Motor Selective Stop Signal Proactive Control with Stroop HDDM Drift,360,.1636,.0551,.2700,.2149,.1478,-.0158
Motor Selective Stop Signal Proactive Control with Stroop HDDM Non-Decision,360,.0344,-.0759,.1408,.2167,.1010,.0667
Motor Selective Stop Signal Proactive Control with Stroop HDDM Threshold,360,.1098,-.0047,.2230,.2277,.1374,.0276
Motor Selective Stop Signal Proactive Control with Stroop HDDM Drift of Stroop Effect,360,.0502,-.0543,.1518,.2060,.0872,.0370
Motor Selective Stop Signal Proactive Control with Tower of London Average Move Time,361,.0029,-.0886,.0922,.1808,.0791,.0762
Motor Selective Stop Signal Proactive Control with Tower of London Number of Extra Moves,361,-.0110,-.1143,.0941,.2084,.0841,.0731
Motor Selective Stop Signal Proactive Control with Tower of London Number of Optimal Solutions,361,-.0313,-.1417,.0757,.2174,.0898,.0585
Motor Selective Stop Signal Proactive Control with Tower of London Planning Time,361,.0353,-.0597,.1311,.1908,.0765,.0412
Motor Selective Stop Signal Proactive Control with Two-Stage Decision Model-Based,317,-.0005,-.0959,.0956,.1915,.0808,.0803
Motor Selective Stop Signal Proactive Control with Two-Stage Decision Model-Free,317,.0402,-.0667,.1452,.2118,.0928,.0525
Motor Selective Stop Signal Proactive Control with Two-Stage Decision Perseverance,317,.0186,-.0926,.1318,.2244,.0778,.0592
Motor Selective Stop Signal Proactive Control with Writing Task Neutral Probability,361,.0524,-.0470,.1488,.1958,.0898,.0373
Motor Selective Stop Signal Proactive Control with Writing Task Positive Probability,361,.0514,-.0417,.1471,.1888,.1159,.0645
Motor Selective Stop Signal Proactive Control with Body Mass Index,359,-.1109,-.2001,-.0206,.1795,.1425,.0316
Motor Selective Stop Signal Proactive Control with K6 Nervous,361,-.0868,-.1814,.0111,.1925,.0933,.0064
Motor Selective Stop Signal Proactive Control with K6 Hopeless,361,-.0945,-.1925,.0080,.2005,.1193,.0248
Motor Selective Stop Signal Proactive Control with K6 Restless/Fidgety,361,-.0802,-.1781,.0220,.2001,.0806,.0004
Motor Selective Stop Signal Proactive Control with K6 Depressed,361,-.0391,-.1360,.0614,.1974,.0722,.0331
Motor Selective Stop Signal Proactive Control with K6 Everything an Effort,361,-.0361,-.1366,.0677,.2043,.0785,.0423
Motor Selective Stop Signal Proactive Control with K6 Worthless,361,-.0526,-.1479,.0468,.1947,.0804,.0278
Motor Selective Stop Signal Proactive Control with Cigarettes Per Day,361,-.0754,-.1605,.0087,.1692,.0933,.0179
Motor Selective Stop Signal Proactive Control with How Many Drinks When Drinking,361,-.0480,-.1373,.0480,.1853,.0789,.0309
Motor Selective Stop Signal Proactive Control with How Often 6+ Drinks,361,-.0886,-.1867,.0158,.2025,.1256,.0370
Motor Selective Stop Signal Proactive Control with How Often Unable to Stop Drinking,361,-.0484,-.1389,.0572,.1961,.0860,.0376
Probabilistic Selection Task Positive Learning Bias with Probabilistic Selection Task Value Sensitivity,369,-.9736,-.9806,-.9641,.0165,.9539,-.0196
Probabilistic Selection Task Positive Learning Bias with Psychological Refractory Period Slope,364,-.0073,-.1242,.1053,.2296,.0743,.0669
Probabilistic Selection Task Positive Learning Bias with Raven Progressive Matrices,369,.0232,-.0975,.1418,.2393,.1287,.1055
Probabilistic Selection Task Positive Learning Bias with Shift Task Accuracy,364,-.0503,-.1489,.0533,.2022,.0925,.0422
Probabilistic Selection Task Positive Learning Bias with Shift Task Learning Rate,364,-.0843,-.1798,.0150,.1948,.0962,.0118
Probabilistic Selection Task Positive Learning Bias with Simon Task HDDM Drift,369,-.0645,-.1699,.0436,.2135,.1547,.0902
Probabilistic Selection Task Positive Learning Bias with Simon Task HDDM Non-Decision,369,-.0478,-.1627,.0695,.2322,.0933,.0456
Probabilistic Selection Task Positive Learning Bias with Simon Task HDDM Threshold,369,-.0378,-.1508,.0752,.2260,.1148,.0770
Probabilistic Selection Task Positive Learning Bias with Simon Task HDDM Drift of Simon Effect,369,-.0074,-.1030,.0887,.1917,.0907,.0833
Probabilistic Selection Task Positive Learning Bias with Simple Reaction Time Average Reaction Time,364,.0073,-.0810,.0926,.1735,.0906,.0832
Probabilistic Selection Task Positive Learning Bias with Spatial Span Forward Span,369,.0208,-.0775,.1263,.2039,.1178,.0970
Probabilistic Selection Task Positive Learning Bias with Spatial Span Reverse Span,369,.0050,-.0832,.0926,.1758,.1032,.0982
Probabilistic Selection Task Positive Learning Bias with Stimulus Selective Stop Signal Reaction Time,338,-.0122,-.1069,.0821,.1890,.0867,.0746
Probabilistic Selection Task Positive Learning Bias with Stimulus Selective Stop Signal HDDM Drift,338,.0279,-.0637,.1205,.1842,.0979,.0700
Probabilistic Selection Task Positive Learning Bias with Stimulus Selective Stop Signal HDDM Non-Decision,338,.0363,-.0483,.1224,.1707,.1099,.0736
Probabilistic Selection Task Positive Learning Bias with Stimulus Selective Stop Signal HDDM Threshold,338,-.0006,-.1074,.1055,.2129,.1096,.1090
Probabilistic Selection Task Positive Learning Bias with Stop Signal Reaction Time High,346,-.1041,-.1906,-.0140,.1766,.1197,.0156
Probabilistic Selection Task Positive Learning Bias with Stop Signal Reaction Time Low,346,-.1513,-.2428,-.0567,.1861,.1577,.0064
Probabilistic Selection Task Positive Learning Bias with Stop Signal HDDM Drift,346,-.0631,-.1622,.0327,.1949,.1505,.0874
Probabilistic Selection Task Positive Learning Bias with Stop Signal HDDM Non-Decision,346,.0495,-.0541,.1581,.2122,.0811,.0317
Probabilistic Selection Task Positive Learning Bias with Stop Signal HDDM Threshold,346,-.0158,-.1361,.0994,.2356,.0816,.0658
Probabilistic Selection Task Positive Learning Bias with Stop Signal Proactive Reaction Time Speeding,346,-.0511,-.1469,.0312,.1781,.1187,.0676
Probabilistic Selection Task Positive Learning Bias with Stop Signal Proactive Reaction Time Slowing,346,.0273,-.0775,.1312,.2086,.1044,.0771
Probabilistic Selection Task Positive Learning Bias with Stroop HDDM Drift,368,-.0133,-.0956,.0726,.1682,.0802,.0669
Probabilistic Selection Task Positive Learning Bias with Stroop HDDM Non-Decision,368,-.0036,-.1006,.0895,.1901,.0731,.0695
Probabilistic Selection Task Positive Learning Bias with Stroop HDDM Threshold,368,-.0101,-.1037,.0835,.1872,.0924,.0823
Probabilistic Selection Task Positive Learning Bias with Stroop HDDM Drift of Stroop Effect,368,-.0917,-.2166,.0343,.2509,.1003,.0086
Probabilistic Selection Task Positive Learning Bias with Tower of London Average Move Time,369,-.0447,-.1540,.0638,.2178,.0838,.0391
Probabilistic Selection Task Positive Learning Bias with Tower of London Number of Extra Moves,369,-.0602,-.1449,.0223,.1671,.1153,.0551
Probabilistic Selection Task Positive Learning Bias with Tower of London Number of Optimal Solutions,369,.0370,-.0817,.1619,.2437,.0942,.0571
Probabilistic Selection Task Positive Learning Bias with Tower of London Planning Time,369,.0689,-.0399,.1776,.2175,.1164,.0475
Probabilistic Selection Task Positive Learning Bias with Two-Stage Decision Model-Based,325,-.0094,-.1213,.1119,.2332,.1142,.1048
Probabilistic Selection Task Positive Learning Bias with Two-Stage Decision Model-Free,325,.0391,-.0670,.1405,.2076,.0858,.0466
Probabilistic Selection Task Positive Learning Bias with Two-Stage Decision Perseverance,325,-.0267,-.1357,.0864,.2221,.1263,.0996
Probabilistic Selection Task Positive Learning Bias with Writing Task Neutral Probability,369,.0195,-.0879,.1230,.2109,.0939,.0744
Probabilistic Selection Task Positive Learning Bias with Writing Task Positive Probability,369,-.0748,-.1651,.0212,.1864,.1136,.0388
Probabilistic Selection Task Positive Learning Bias with Body Mass Index,367,.0183,-.0750,.1114,.1864,.0924,.0741
Probabilistic Selection Task Positive Learning Bias with K6 Nervous,369,.0578,-.0388,.1539,.1926,.1181,.0603
Probabilistic Selection Task Positive Learning Bias with K6 Hopeless,369,.0559,-.0439,.1589,.2027,.0802,.0242
Probabilistic Selection Task Positive Learning Bias with K6 Restless/Fidgety,369,.0327,-.0600,.1240,.1840,.0773,.0446
Probabilistic Selection Task Positive Learning Bias with K6 Depressed,369,.0758,-.0109,.1625,.1734,.1053,.0295
Probabilistic Selection Task Positive Learning Bias with K6 Everything an Effort,369,.1007,.0117,.1862,.1745,.1505,.0498
Probabilistic Selection Task Positive Learning Bias with K6 Worthless,369,.0554,-.0399,.1558,.1958,.0928,.0374
Probabilistic Selection Task Positive Learning Bias with Cigarettes Per Day,369,.0042,-.0856,.0929,.1785,.0477,.0435
Probabilistic Selection Task Positive Learning Bias with How Many Drinks When Drinking,369,.1326,.0219,.2488,.2269,.1212,-.0114
Probabilistic Selection Task Positive Learning Bias with How Often 6+ Drinks,369,.1081,.0049,.2084,.2035,.0968,-.0113
Probabilistic Selection Task Positive Learning Bias with How Often Unable to Stop Drinking,369,.1074,.0383,.1758,.1375,.1364,.0291
Probabilistic Selection Task Value Sensitivity with Psychological Refractory Period Slope,364,-.0199,-.1280,.0918,.2197,.0646,.0447
Probabilistic Selection Task Value Sensitivity with Raven Progressive Matrices,369,.0553,-.0620,.1727,.2347,.1314,.0761
Probabilistic Selection Task Value Sensitivity with Shift Task Accuracy,364,.0901,-.0148,.1890,.2037,.1121,.0220
Probabilistic Selection Task Value Sensitivity with Shift Task Learning Rate,364,.1207,.0243,.2151,.1908,.1311,.0104
Probabilistic Selection Task Value Sensitivity with Simon Task HDDM Drift,369,.1289,.0209,.2308,.2099,.1863,.0574
Probabilistic Selection Task Value Sensitivity with Simon Task HDDM Non-Decision,369,.0271,-.0866,.1405,.2271,.0832,.0561
Probabilistic Selection Task Value Sensitivity with Simon Task HDDM Threshold,369,.0469,-.0619,.1587,.2206,.1001,.0532
Probabilistic Selection Task Value Sensitivity with Simon Task HDDM Drift of Simon Effect,369,.0133,-.0838,.1087,.1925,.0766,.0633
Probabilistic Selection Task Value Sensitivity with Simple Reaction Time Average Reaction Time,364,-.0450,-.1281,.0410,.1691,.0969,.0519
Probabilistic Selection Task Value Sensitivity with Spatial Span Forward Span,369,.0378,-.0657,.1348,.2005,.1135,.0757
Probabilistic Selection Task Value Sensitivity with Spatial Span Reverse Span,369,.0523,-.0352,.1400,.1752,.0946,.0423
Probabilistic Selection Task Value Sensitivity with Stimulus Selective Stop Signal Reaction Time,338,.0032,-.0874,.0968,.1842,.0865,.0834
Probabilistic Selection Task Value Sensitivity with Stimulus Selective Stop Signal HDDM Drift,338,.0186,-.0736,.1095,.1831,.1003,.0817
Probabilistic Selection Task Value Sensitivity with Stimulus Selective Stop Signal HDDM Non-Decision,338,-.0273,-.1129,.0571,.1700,.1105,.0832
Probabilistic Selection Task Value Sensitivity with Stimulus Selective Stop Signal HDDM Threshold,338,-.0103,-.1139,.0957,.2096,.1126,.1023
Probabilistic Selection Task Value Sensitivity with Stop Signal Reaction Time High,346,.0700,-.0198,.1583,.1781,.1011,.0311
Probabilistic Selection Task Value Sensitivity with Stop Signal Reaction Time Low,346,.1149,.0203,.2076,.1873,.1326,.0176
Probabilistic Selection Task Value Sensitivity with Stop Signal HDDM Drift,346,.1122,.0170,.2079,.1909,.1866,.0744
Probabilistic Selection Task Value Sensitivity with Stop Signal HDDM Non-Decision,346,-.0304,-.1460,.0773,.2233,.0884,.0579
Probabilistic Selection Task Value Sensitivity with Stop Signal HDDM Threshold,346,.0024,-.1131,.1257,.2388,.0746,.0722
Probabilistic Selection Task Value Sensitivity with Stop Signal Proactive Reaction Time Speeding,346,.0487,-.0314,.1390,.1704,.1107,.0620
Probabilistic Selection Task Value Sensitivity with Stop Signal Proactive Reaction Time Slowing,346,-.0285,-.1307,.0769,.2077,.1037,.0752
Probabilistic Selection Task Value Sensitivity with Stroop HDDM Drift,368,.0631,-.0229,.1442,.1670,.1055,.0425
Probabilistic Selection Task Value Sensitivity with Stroop HDDM Non-Decision,368,-.0283,-.1173,.0654,.1827,.0826,.0543
Probabilistic Selection Task Value Sensitivity with Stroop HDDM Threshold,368,.0115,-.0856,.1103,.1959,.0901,.0786
Probabilistic Selection Task Value Sensitivity with Stroop HDDM Drift of Stroop Effect,368,.0932,-.0281,.2120,.2400,.0991,.0060
Probabilistic Selection Task Value Sensitivity with Tower of London Average Move Time,369,.0081,-.0983,.1144,.2127,.0868,.0787
Probabilistic Selection Task Value Sensitivity with Tower of London Number of Extra Moves,369,.0495,-.0346,.1355,.1702,.1074,.0578
Probabilistic Selection Task Value Sensitivity with Tower of London Number of Optimal Solutions,369,.0000,-.1217,.1161,.2378,.0796,.0796
Probabilistic Selection Task Value Sensitivity with Tower of London Planning Time,369,-.0811,-.1875,.0257,.2132,.1315,.0504
Probabilistic Selection Task Value Sensitivity with Two-Stage Decision Model-Based,325,.0919,-.0233,.2002,.2235,.1354,.0435
Probabilistic Selection Task Value Sensitivity with Two-Stage Decision Model-Free,325,-.0528,-.1545,.0532,.2077,.0874,.0347
Probabilistic Selection Task Value Sensitivity with Two-Stage Decision Perseverance,325,.1024,-.0091,.2148,.2239,.1566,.0542
Probabilistic Selection Task Value Sensitivity with Writing Task Neutral Probability,369,-.0143,-.1185,.0934,.2119,.0888,.0746
Probabilistic Selection Task Value Sensitivity with Writing Task Positive Probability,369,.0821,-.0147,.1743,.1890,.1140,.0319
Probabilistic Selection Task Value Sensitivity with Body Mass Index,367,-.0362,-.1291,.0593,.1884,.1032,.0669
Probabilistic Selection Task Value Sensitivity with K6 Nervous,369,-.0605,-.1579,.0383,.1963,.1133,.0528
Probabilistic Selection Task Value Sensitivity with K6 Hopeless,369,-.0674,-.1662,.0297,.1959,.0864,.0190
